"year","school_id","nom_school_type","school_type","match"
2025,84,"Public charter school","Public district school","no"
2019,111,"Public charter school","Public district school","no"
2021,190,"Public charter school","Public district school","no"
2019,195,"Public charter school","Public district school","no"
2022,204,"Public charter school","Public district school","no"
2025,234,"Independent (private) school","Public charter school","no"
2025,276,"Microschool","Public district school","no"
2021,287,"N/A","Public district school","no"
2021,301,"Public District School","Public district school","no"
2021,309,"Public district school","Public charter school","no"
2021,316,"Public district school","Public charter school","no"
2021,391,"N/A","Public district school","no"
2024,501,"Public charter school","Public district school","no"
2025,502,"Public charter school","Public district school","no"
2023,535,"School-within-school (a smaller","Public district school","no"
2023,535,"largely autonomous school inside of a public district school)","Public district school","no"
2023,535,"Microschool","Public district school","no"
2024,536,"School-within-school (a smaller","Public district school","no"
2024,536,"largely autonomous school inside of a public district school)","Public district school","no"
2024,536,"Public charter school","Public district school","no"
2025,541,"Public district school","Public charter school","no"
2025,545,"Microschool","Independent (private) school","no"
2022,573,"Microschool","Independent (private) school","no"
2022,612,"Alternative to school (e.g.","Independent (private) school","no"
2022,612,"homeschooling cooperative","Independent (private) school","no"
2022,612,"learning hub)","Independent (private) school","no"
2023,685,"Public charter school","Public district school","no"
2023,731,"Learning Hub","Public charter school","no"
2023,740,"Public Charter School","Public charter school","no"
2023,796,"Public Charter School","Public charter school","no"
2025,824,"Public charter school","Public district school","no"
2024,890,"Public charter school","Independent (private) school","no"
2025,937,"Public charter school","Public district school","no"
2025,1002,"Public district school","Independent (private) school","no"
