"short_label","n","total","pct"
"Address absenteeism",8,185,0.0432432432432432
"Address systemic inequities",46,185,0.248648648648649
"Change in demographics",8,185,0.0432432432432432
"Demonstrate what's possible",83,185,0.448648648648649
"Improve academics",81,185,0.437837837837838
"Improve school culture",49,185,0.264864864864865
"Improve student mental health",21,185,0.113513513513514
"Increase student agency",122,185,0.659459459459459
"Increase teacher agency",29,185,0.156756756756757
"Stakeholder demand/advocacy",19,185,0.102702702702703
"Support specific population",40,185,0.216216216216216
