"short_label","selection","n","total","pct"
"Academic success","Somewhat important",33,92,0.358695652173913
"Academic success","Somewhat not important",1,92,0.0108695652173913
"Academic success","Very important",58,92,0.630434782608696
"Agency and self-direction","Somewhat important",16,94,0.170212765957447
"Agency and self-direction","Very important",78,94,0.829787234042553
"Belonging","Somewhat important",6,93,0.0645161290322581
"Belonging","Somewhat not important",1,93,0.010752688172043
"Belonging","Very important",86,93,0.924731182795699
"Civic engagement and responsibility","Somewhat important",35,92,0.380434782608696
"Civic engagement and responsibility","Somewhat not important",6,92,0.0652173913043478
"Civic engagement and responsibility","Very important",51,92,0.554347826086957
"Durable skills","Somewhat important",8,93,0.0860215053763441
"Durable skills","Very important",85,93,0.913978494623656
"Economic mobility","Not important",3,92,0.0326086956521739
"Economic mobility","Somewhat important",30,92,0.326086956521739
"Economic mobility","Somewhat not important",4,92,0.0434782608695652
"Economic mobility","Very important",55,92,0.597826086956522
"Engagement","Somewhat important",5,94,0.0531914893617021
"Engagement","Very important",89,94,0.946808510638298
"Higher education access","Not important",2,92,0.0217391304347826
"Higher education access","Somewhat important",41,92,0.445652173913043
"Higher education access","Somewhat not important",8,92,0.0869565217391304
"Higher education access","Very important",41,92,0.445652173913043
"Higher education success","Not important",2,92,0.0217391304347826
"Higher education success","Somewhat important",41,92,0.445652173913043
"Higher education success","Somewhat not important",7,92,0.0760869565217391
"Higher education success","Very important",42,92,0.456521739130435
"Identity and purpose","Somewhat important",15,93,0.161290322580645
"Identity and purpose","Very important",78,93,0.838709677419355
"Industry credentials","Not important",8,92,0.0869565217391304
"Industry credentials","Somewhat important",37,92,0.402173913043478
"Industry credentials","Somewhat not important",20,92,0.217391304347826
"Industry credentials","Very important",27,92,0.293478260869565
"Social capital","Not important",1,94,0.0106382978723404
"Social capital","Somewhat important",33,94,0.351063829787234
"Social capital","Somewhat not important",12,94,0.127659574468085
"Social capital","Very important",48,94,0.51063829787234
"Work-based skills and employability","Not important",2,94,0.0212765957446809
"Work-based skills and employability","Somewhat important",29,94,0.308510638297872
"Work-based skills and employability","Somewhat not important",6,94,0.0638297872340425
"Work-based skills and employability","Very important",57,94,0.606382978723404
